Epoch [3/30], Step [26/49], Loss: 0.0011
Epoch [3/30], Step [27/49], Loss: 0.0010
Epoch [3/30], Step [28/49], Loss: 0.0014
Epoch [3/30], Step [29/49], Loss: 0.0018
Epoch [3/30], Step [30/49], Loss: 0.0011
Epoch [3/30], Step [31/49], Loss: 0.0011
Epoch [3/30], Step [32/49], Loss: 0.0010
Epoch [3/30], Step [33/49], Loss: 0.0013
Epoch [3/30], Step [34/49], Loss: 0.0009
Epoch [3/30], Step [35/49], Loss: 0.0006
Epoch [3/30], Step [36/49], Loss: 0.0013
Epoch [3/30], Step [37/49], Loss: 0.0009
Epoch [3/30], Step [38/49], Loss: 0.0010
Epoch [3/30], Step [39/49], Loss: 0.0023
Epoch [3/30], Step [40/49], Loss: 0.0010
Epoch [3/30], Step [41/49], Loss: 0.0012
Epoch [3/30], Step [42/49], Loss: 0.0011
Epoch [3/30], Step [43/49], Loss: 0.0019
Epoch [3/30], Step [44/49], Loss: 0.0012
Epoch [3/30], Step [45/49], Loss: 0.0013
Epoch [3/30], Step [46/49], Loss: 0.0017
Epoch [3/30], Step [47/49], Loss: 0.0006
Epoch [3/30], Step [48/49], Loss: 0.0021
Epoch [3/30], Step [49/49], Loss: 0.0013
Epoch [4/30], Step [1/49], Loss: 0.0013
Epoch [4/30], Step [2/49], Loss: 0.0015
Epoch [4/30], Step [3/49], Loss: 0.0018
Epoch [4/30], Step [4/49], Loss: 0.0017
Epoch [4/30], Step [5/49], Loss: 0.0007
Epoch [4/30], Step [6/49], Loss: 0.0011
Epoch [4/30], Step [7/49], Loss: 0.0010
Epoch [4/30], Step [8/49], Loss: 0.0016
Epoch [4/30], Step [9/49], Loss: 0.0008
Epoch [4/30], Step [10/49], Loss: 0.0012
Epoch [4/30], Step [11/49], Loss: 0.0008
Epoch [4/30], Step [12/49], Loss: 0.0023
Epoch [4/30], Step [13/49], Loss: 0.0012
Epoch [4/30], Step [14/49], Loss: 0.0014
Epoch [4/30], Step [15/49], Loss: 0.0015
Epoch [4/30], Step [16/49], Loss: 0.0008
Epoch [4/30], Step [17/49], Loss: 0.0012
